Occupation code,Occupation title,Level,Employment,Annual mean wage
00-0000,All Occupations,total,139099570,"$56,310"
11-0000,Management Occupations,major,7947300,"$126,480"
11-1000,Top Executives,minor,2601070,"$129,920"
11-1011,Chief Executives,detail,202360,"$197,840"
11-1021,General and Operations Managers,detail,2347420,"$125,740"
11-1031,Legislators,detail,51290,"$53,560"
11-2000,"Advertising, Marketing, Promotions, Public...",minor,763970,"$148,740"
11-2011,Advertising and Promotions Managers,detail,22490,"$147,560"
11-2020,Marketing and Sales Managers,broad,660380,"$150,400"
11-2021,Marketing Managers,detail,270200,"$154,470"
11-2022,Sales Managers,detail,390170,"$147,580"
11-2030,Public Relations and Fundraising Managers,broad,81110,"$135,580"
11-3000,Operations Specialties Managers,minor,2012370,"$138,590"
11-3010,Administrative Services and Facilities Man...,broad,307620,"$108,120"
11-3021,Computer and Information Systems Managers,detail,457290,"$161,730"
11-3031,Financial Managers,detail,653080,"$151,510"
11-3051,Industrial Production Managers,detail,179570,"$118,190"
11-3061,Purchasing Managers,detail,70960,"$132,660"
11-3071,"Transportation, Storage, and Distribution ...",detail,132210,"$105,100"
11-3111,Compensation and Benefits Managers,detail,16340,"$137,160"
11-3121,Human Resources Managers,detail,156600,"$134,580"
11-3131,Training and Development Managers,detail,38710,"$125,920"
11-9000,Other Management Occupations,minor,2569880,"$106,910"
11-9013,"Farmers, Ranchers, and Other Agricultural ...",detail,5670,"$76,810"
11-9021,Construction Managers,detail,285640,"$107,260"
11-9030,Education and Childcare Administrators,broad,493350,"$101,160"
11-9031,"Education and Childcare Administrators, Pr...",detail,46410,"$54,940"
11-9032,"Education Administrators, Kindergarten thr...",detail,262480,"$103,010"
11-9033,"Education Administrators, Postsecondary",detail,140880,"$115,200"
11-9039,"Education Administrators, All Other",detail,43580,"$93,830"
11-9041,Architectural and Engineering Managers,detail,195900,"$158,100"
11-9051,Food Service Managers,detail,197010,"$61,000"
11-9071,Gambling Managers,detail,3240,"$85,440"
